Win 32 APPs Name                                                                                    | Version              
Universal CRT Tools x86                                                                               10.1.16299.15        
Microsoft .NET Core Runtime - 2.0.6 (x64)                                                             16.24.26212          
Microsoft .NET Core Host FX Resolver - 2.0.5 (x64)                                                    16.20.26021          
Microsoft Web Deploy 4.0                                                                              10.0.1988            
Microsoft .NET Core Host - 2.0.6 (x64)                                                                16.24.26212          
Windows IP Over USB                                                                                   10.1.16299.15        
IntelliTraceProfilerProxy                                                                             15.0.17289.01        
Windows SDK Desktop Libs arm                                                                          10.1.16299.15        
Windows SDK Desktop Libs arm64                                                                        10.1.16299.15        
Microsoft .NET Framework 4 Multi-Targeting Pack                                                       4.0.30319            
Windows PE ARM ARM64                                                                                  10.1.17134.1         
Python 3.6.3 Utility Scripts (64-bit)                                                                 3.6.3150.0           
Imaging Tools Support                                                                                 10.1.17134.1         
UEV Tools on amd64                                                                                    10.1.17134.1         
Microsoft UniversalWindowsPlatform SDK                                                                15.5.27221           
Windows Desktop Extension SDK                                                                         10.1.16299.15        
Windows SDK Desktop Libs x86                                                                          10.1.16299.15        
Windows PE x86 x64                                                                                    10.1.17134.1         
Assessments on Client                                                                                 10.1.17134.1         
ASUS PTP Driver                                                                                       11.0.13              
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack                                                   4.5.51651            
Windows SDK Desktop Headers arm64                                                                     10.1.16299.15        
Python 3.6.3 pip Bootstrap (64-bit)                                                                   3.6.3150.0           
Windows Mobile Extension SDK                                                                          10.1.16299.15        
icecap_collectionresources                                                                            15.6.27406           
Python 3.6.3 Core Interpreter (64-bit symbols)                                                        3.6.3150.0           
Microsoft .NET Framework 4.6.1 Targeting Pack                                                         4.6.01055            
Microsoft Azure Compute Emulator - v2.9.5.3                                                           2.9.8699.20          
Windows Team Extension SDK                                                                            10.1.16299.15        
Google Update Helper                                                                                  1.3.33.17            
Appman Sequencer on amd64                                                                             10.1.17134.1         
Microsoft SQL Server 2016 LocalDB                                                                     13.1.4001.0          
Application Compatibility Toolkit                                                                     10.1.17134.1         
Microsoft .NET Native SDK                                                                             15.0.24211           
vs_Graphics_Singletonx86                                                                              15.0.27005           
WinRT Intellisense UAP - en-us                                                                        10.1.16299.15        
Microsoft System CLR Types for SQL Server 2017                                                        14.0.3006.16         
Windows SDK Desktop Tools x86                                                                         10.1.16299.15        
Microsoft TestPlatform SDK Local Feed                                                                 15.6.0.1398059       
Microsoft Portable Library Multi-Targeting Pack Language Pack - enu                                   15.0.26621.02        
Windows Simulator - ENU                                                                               15.0.26621           
Python 3.6.3 Test Suite (64-bit symbols)                                                              3.6.3150.0           
vs_professionalmsi                                                                                    15.0.26621           
Python Launcher                                                                                       3.6.6119.0           
